Año;Trimestre;Provincia;ADSL;Cablemodem;Fibra óptica;Wireless;Otros;TConexiones;Nuevo_Acceso
2018;4;Neuquén;41;56;3;12;2;114;116,28
2018;4;Río Negro;68;34;1;8;5;116;118,32
2018;4;Salta;74;58;638;253;2;1025;1045,5
2018;4;San Juan;52;6;806;3;1;868;885,36
2018;4;San Luis;11;8;378;53;24;474;483,48
2018;4;Santa Cruz;11;5;382;6;3;407;415,14
2018;4;Santa Fe;336;323;14;19;29;721;735,42
2018;4;Santiago Del Estero;25;61;23;3;81;193;196,86
2018;4;Tierra Del Fuego;20;23;2;0;1;46;46,92
2018;4;Tucumán;159;12;119;686;314;1290;1315,8
2018;3;Buenos Aires;1;2;156;62;26;247;251,94
2018;3;Capital Federal;334;1;36;4;9;384;391,68
2018;3;Catamarca;28;4;15;1;2;50;51
2018;3;Chaco;54;42;2;3;1;102;104,04
2018;3;Chubut;59;23;1;14;7;104;106,08
2018;3;Córdoba;338;342;16;19;11;726;740,52
2018;3;Corrientes;56;41;212;1;32;342;348,84
2018;3;Entre Ríos;103;84;2;15;80;284;289,68
2018;3;Formosa;23;8;817;14;57;919;937,38
2018;3;Jujuy;33;11;32;641;43;760;775,2
2018;3;La Pampa;12;55;8;7;987;1069;1090,38
2018;3;La Rioja;17;35;13;253;35;353;360,06
2018;3;Mendoza;151;40;6;8;2;207;211,14
2018;3;Misiones;56;51;512;391;56;1066;1087,32
2018;3;Neuquén;47;54;998;12;3;1114;1136,28
2018;3;Río Negro;69;33;1;5;5;113;115,26
2018;3;Salta;77;54;678;234;1;1044;1064,88
2018;3;San Juan;54;6;826;3;1;890;907,8
2018;3;San Luis;11;8;368;53;2;442;450,84
2018;3;Santa Cruz;19;5;585;6;4;619;631,38
2018;3;Santa Fe;339;313;12;16;15;695;708,9
2018;3;Santiago Del Estero;26;59;23;2;81;191;194,82
2018;3;Tierra Del Fuego;19;23;2;1;2;47;47,94
2018;3;Tucumán;161;9;110;252;315;847;863,94
2018;2;Buenos Aires;1;2;144;71;28;246;250,92
2018;2;Capital Federal;342;978;36;4;9;1369;1396,38
2018;2;Catamarca;27;4;15;1;2;49;49,98
2018;2;Chaco;54;41;562;2;1;660;673,2
2018;2;Chubut;59;20;1;14;7;101;103,02
2018;2;Córdoba;345;328;14;16;10;713;727,26
2018;2;Corrientes;57;40;201;1;32;331;337,62
2018;2;Entre Ríos;105;80;2;12;80;279;284,58
2018;2;Formosa;24;7;18;14;57;120;122,4
