Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,TConexiones
2019,1,La Pampa,19,57,3,9,1,89
2019,1,La Rioja,16,35,12,252,41,356
2019,1,Mendoza,149,40,6,10,2,207
2019,1,Misiones,55,59,465,426,8,1013
2019,1,Neuquén,41,56,3,13,2,115
2019,1,Río Negro,68,34,4,10,5,121
2019,1,Salta,74,58,647,1,2,782
2019,1,San Juan,52,6,808,3,1,870
2019,1,San Luis,11,8,378,53,24,474
2019,1,Santa Cruz,11,5,382,7,3,408
2019,1,Santa Fe,340,340,16,23,18,737
2019,1,Santiago Del Estero,25,62,23,3,99,212
2019,1,Tierra Del Fuego,20,24,2,0,1,47
2019,1,Tucumán,159,12,118,678,321,1288
2018,4,Buenos Aires,1,2,296,65,20,384
2018,4,Capital Federal,328,1,33,4,4,370
2018,4,Catamarca,27,4,16,0,2,49
2018,4,Chaco,53,44,2,3,1,103
2018,4,Chubut,37,23,952,14,3,1029
2018,4,Córdoba,329,356,18,22,13,738
2018,4,Corrientes,56,42,796,2,30,926
2018,4,Entre Ríos,101,86,5,15,14,221
2018,4,Formosa,23,8,887,14,57,989
2018,4,Jujuy,33,12,153,640,44,882
2018,4,La Pampa,19,55,3,8,1,86
2018,4,La Rioja,16,35,12,252,36,351
2018,4,Mendoza,149,40,6,10,2,207
2018,4,Misiones,56,54,465,426,6,1007
2018,4,Neuquén,41,56,3,12,2,114
2018,4,Río Negro,68,34,1,8,5,116
2018,4,Salta,74,58,638,253,2,1025
2018,4,San Juan,52,6,806,3,1,868
2018,4,San Luis,11,8,378,53,24,474
2018,4,Santa Cruz,11,5,382,6,3,407
2018,4,Santa Fe,336,323,14,19,29,721
2018,4,Santiago Del Estero,25,61,23,3,81,193
2018,4,Tierra Del Fuego,20,23,2,0,1,46
2018,4,Tucumán,159,12,119,686,314,1290
2018,3,Buenos Aires,1,2,156,62,26,247
2018,3,Capital Federal,334,1,36,4,9,384
2018,3,Catamarca,28,4,15,1,2,50
2018,3,Chaco,54,42,2,3,1,102
2018,3,Chubut,59,23,1,14,7,104
2018,3,Córdoba,338,342,16,19,11,726
2018,3,Corrientes,56,41,212,1,32,342
2018,3,Entre Ríos,103,84,2,15,80,284
2018,3,Formosa,23,8,817,14,57,919
2018,3,Jujuy,33,11,32,641,43,760
2018,3,La Pampa,12,55,8,7,987,1069
2018,3,La Rioja,17,35,13,253,35,353
2018,3,Mendoza,151,40,6,8,2,207
2018,3,Misiones,56,51,512,391,56,1066
2018,3,Neuquén,47,54,998,12,3,1114
2018,3,Río Negro,69,33,1,5,5,113
2018,3,Salta,77,54,678,234,1,1044
2018,3,San Juan,54,6,826,3,1,890
2018,3,San Luis,11,8,368,53,2,442
2018,3,Santa Cruz,19,5,585,6,4,619
2018,3,Santa Fe,339,313,12,16,15,695
2018,3,Santiago Del Estero,26,59,23,2,81,191
2018,3,Tierra Del Fuego,19,23,2,1,2,47
2018,3,Tucumán,161,9,110,252,315,847
2018,2,Buenos Aires,1,2,144,71,28,246
2018,2,Capital Federal,342,978,36,4,9,1369
2018,2,Catamarca,27,4,15,1,2,49
2018,2,Chaco,54,41,562,2,1,660
2018,2,Chubut,59,20,1,14,7,101
2018,2,Córdoba,345,328,14,16,10,713
2018,2,Corrientes,57,40,201,1,32,331
2018,2,Entre Ríos,105,80,2,12,80,279
2018,2,Formosa,24,7,18,14,57,120
2018,2,Jujuy,34,11,23,640,43,751
2018,2,La Pampa,12,54,8,7,987,1068
2018,2,La Rioja,17,35,13,253,35,353
2018,2,Mendoza,153,37,3,6,2,201
2018,2,Misiones,57,48,512,391,56,1064
2018,2,Neuquén,47,53,998,13,3,1114
2018,2,Río Negro,69,33,1,4,5,112
2018,2,Salta,78,53,678,234,1,1044
2018,2,San Juan,54,5,826,3,1,889
